threshold,tar,far,genuine_above,impostor_above,total_genuine,total_impostor,youden_j
0.46454545454545454,1.0,0.9236893203883495,200,9514,200,10300,0.0763106796116505
0.46,1.0,0.9347572815533981,200,9628,200,10300,0.0652427184466019
0.45515151515151514,1.0,0.9347572815533981,200,9628,200,10300,0.0652427184466019
0.45,1.0,0.9438834951456311,200,9722,200,10300,0.05611650485436892
0.44575757575757574,1.0,0.9438834951456311,200,9722,200,10300,0.05611650485436892
0.44,1.0,0.9520388349514564,200,9806,200,10300,0.04796116504854364
0.43636363636363634,1.0,0.9520388349514564,200,9806,200,10300,0.04796116504854364
0.43,1.0,0.9545631067961166,200,9832,200,10300,0.045436893203883444
0.42696969696969694,1.0,0.9545631067961166,200,9832,200,10300,0.045436893203883444
0.42,1.0,0.9557281553398058,200,9844,200,10300,0.04427184466019418
0.4175757575757576,1.0,0.9557281553398058,200,9844,200,10300,0.04427184466019418
0.41,1.0,0.9590291262135923,200,9878,200,10300,0.040970873786407735
0.4081818181818182,1.0,0.9590291262135923,200,9878,200,10300,0.040970873786407735
0.4,1.0,0.96,200,9888,200,10300,0.040000000000000036
0.3987878787878788,1.0,0.96,200,9888,200,10300,0.040000000000000036
0.39,1.0,0.9605825242718447,200,9894,200,10300,0.03941747572815535
0.3893939393939394,1.0,0.9605825242718447,200,9894,200,10300,0.03941747572815535
0.38,1.0,0.9609708737864078,200,9898,200,10300,0.039029126213592225
0.3706060606060606,1.0,0.9609708737864078,200,9898,200,10300,0.039029126213592225
0.3612121212121212,1.0,0.9609708737864078,200,9898,200,10300,0.039029126213592225
0.36,1.0,0.9611650485436893,200,9900,200,10300,0.03883495145631066
0.3518181818181818,1.0,0.9611650485436893,200,9900,200,10300,0.03883495145631066
0.3424242424242424,1.0,0.9611650485436893,200,9900,200,10300,0.03883495145631066
0.333030303030303,1.0,0.9611650485436893,200,9900,200,10300,0.03883495145631066
0.3236363636363636,1.0,0.9611650485436893,200,9900,200,10300,0.03883495145631066
0.3142424242424242,1.0,0.9611650485436893,200,9900,200,10300,0.03883495145631066
0.3048484848484848,1.0,0.9611650485436893,200,9900,200,10300,0.03883495145631066
0.29545454545454547,1.0,0.9611650485436893,200,9900,200,10300,0.03883495145631066
0.28606060606060607,1.0,0.9611650485436893,200,9900,200,10300,0.03883495145631066
0.27666666666666667,1.0,0.9611650485436893,200,9900,200,10300,0.03883495145631066
0.2672727272727273,1.0,0.9611650485436893,200,9900,200,10300,0.03883495145631066
0.2578787878787879,1.0,0.9611650485436893,200,9900,200,10300,0.03883495145631066
0.24848484848484848,1.0,0.9611650485436893,200,9900,200,10300,0.03883495145631066
0.2390909090909091,1.0,0.9611650485436893,200,9900,200,10300,0.03883495145631066
0.2296969696969697,1.0,0.9611650485436893,200,9900,200,10300,0.03883495145631066
0.2203030303030303,1.0,0.9611650485436893,200,9900,200,10300,0.03883495145631066
0.2109090909090909,1.0,0.9611650485436893,200,9900,200,10300,0.03883495145631066
0.2015151515151515,1.0,0.9611650485436893,200,9900,200,10300,0.03883495145631066
0.19212121212121214,1.0,0.9611650485436893,200,9900,200,10300,0.03883495145631066
0.18272727272727274,1.0,0.9611650485436893,200,9900,200,10300,0.03883495145631066
0.17333333333333334,1.0,0.9611650485436893,200,9900,200,10300,0.03883495145631066
0.16393939393939394,1.0,0.9611650485436893,200,9900,200,10300,0.03883495145631066
0.15454545454545454,1.0,0.9611650485436893,200,9900,200,10300,0.03883495145631066
0.14515151515151514,1.0,0.9611650485436893,200,9900,200,10300,0.03883495145631066
0.13575757575757574,1.0,0.9611650485436893,200,9900,200,10300,0.03883495145631066
0.12636363636363637,1.0,0.9611650485436893,200,9900,200,10300,0.03883495145631066
0.11696969696969697,1.0,0.9611650485436893,200,9900,200,10300,0.03883495145631066
0.11,1.0,0.970873786407767,200,10000,200,10300,0.029126213592232997
0.10757575757575757,1.0,0.970873786407767,200,10000,200,10300,0.029126213592232997
0.09818181818181819,1.0,0.970873786407767,200,10000,200,10300,0.029126213592232997
0.08878787878787879,1.0,0.970873786407767,200,10000,200,10300,0.029126213592232997
0.0793939393939394,1.0,0.970873786407767,200,10000,200,10300,0.029126213592232997
0.07,1.0,1.0,200,10300,200,10300,0.0
